URL: /index.html
Timestamp: 1700074652921

URL: /favicon.ico
Timestamp: 1700074653043

URL: /documentation.html
Timestamp: 1700074664255

URL: /favicon.ico
Timestamp: 1700074664322

URL: /documentation.html
Timestamp: Wed Nov 15 2023 13:59:51 GMT-0500 (Eastern Standard Time)

URL: /favicon.ico
Timestamp: Wed Nov 15 2023 13:59:51 GMT-0500 (Eastern Standard Time)

::1 - - [16/Nov/2023:21:11:06 +0000] "GET /documentation.html HTTP/1.1" 200 1310 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [16/Nov/2023:21:11:06 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:3000/documentation.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [16/Nov/2023:21:11:16 +0000] "GET / HTTP/1.1" 200 24 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [16/Nov/2023:21:11:57 +0000] "GET /movies HTTP/1.1" 200 756 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [16/Nov/2023:21:12:04 +0000] "GET /documentation.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [16/Nov/2023:21:12:49 +0000] "GET /do HTTP/1.1" 404 141 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:53:39 +0000] "GET /%0A%20%20%20%20res.send('Welcome%20to%20my%20Top%20Movies'); HTTP/1.1" 404 207 "-" "PostmanRuntime/7.35.0"
::1 - - [20/Nov/2023:23:54:35 +0000] "POST /register HTTP/1.1" 404 148 "-" "PostmanRuntime/7.35.0"
::1 - - [20/Nov/2023:23:55:05 +0000] "POST /register HTTP/1.1" 404 148 "-" "PostmanRuntime/7.35.0"
::1 - - [20/Nov/2023:23:56:07 +0000] "GET / HTTP/1.1" 200 24 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:56:07 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:56:14 +0000] "GET /register HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:56:31 +0000] "GET /directors HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:56:38 +0000] "GET /directors/name HTTP/1.1" 200 28 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:56:54 +0000] "GET /movies HTTP/1.1" 200 756 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:56:58 +0000] "GET /movies/moviename HTTP/1.1" 200 10 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:57:06 +0000] "GET /movies/asdf HTTP/1.1" 200 10 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:57:09 +0000] "GET /movies/asdf HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
::1 - - [20/Nov/2023:23:57:34 +0000] "POST /register HTTP/1.1" 200 13 "-" "PostmanRuntime/7.35.0"
::1 - - [20/Nov/2023:23:57:44 +0000] "POST /register HTTP/1.1" 200 13 "-" "PostmanRuntime/7.35.0"
::1 - - [20/Nov/2023:23:58:40 +0000] "PUT /users/:username HTTP/1.1" 200 16 "-" "PostmanRuntime/7.35.0"
::1 - - [20/Nov/2023:23:59:01 +0000] "POST /users/favorites/:movies HTTP/1.1" 404 163 "-" "PostmanRuntime/7.35.0"
::1 - - [20/Nov/2023:23:59:34 +0000] "DELETE /users/favorites/:movies HTTP/1.1" 404 165 "-" "PostmanRuntime/7.35.0"
::1 - - [21/Nov/2023:00:01:37 +0000] "DELETE /users/favorites/:movies HTTP/1.1" 404 165 "-" "PostmanRuntime/7.35.0"
::1 - - [21/Nov/2023:00:01:42 +0000] "DELETE /users/favorites/:movies HTTP/1.1" 404 165 "-" "PostmanRuntime/7.35.0"
